Row ID,Transaction ID,Transaction Date,Clear Date,Customer ID,Category,Sub-Category,Value
1,CA-2019-152156,11/8/2019,11/11/2019,CG-12520,Essential,Insurance,261.96
2,CA-2019-152156,11/8/2019,11/11/2019,CG-12520,Essential,Utilities,731.94
3,CA-2019-138688,6/12/2019,6/16/2019,DV-13045,Non-essential,Luxury,14.62
4,US-2018-108966,10/11/2018,10/18/2018,SO-20335,Essential,Food,957.5775
5,US-2018-108966,10/11/2018,10/18/2018,SO-20335,Essential,Saving,22.368
6,CA-2017-115812,6/9/2017,6/14/2017,BH-11710,Non-essential,Alcohol,48.86
7,CA-2017-115812,6/9/2017,6/14/2017,BH-11710,Non-essential,Luxury,7.28
8,CA-2017-115812,6/9/2017,6/14/2017,BH-11710,Essential,Healthcare,907.152
9,CA-2017-115812,6/9/2017,6/14/2017,BH-11710,Non-essential,Travel/Lifestyle,18.504
10,CA-2017-115812,6/9/2017,6/14/2017,BH-11710,Essential,Debt Payment,114.9
11,CA-2017-115812,6/9/2017,6/14/2017,BH-11710,Essential,Food,1706.184
12,CA-2017-115812,6/9/2017,6/14/2017,BH-11710,Essential,Healthcare,911.424
13,CA-2020-114412,4/15/2020,4/20/2020,AA-10480,Non-essential,Luxury,15.552
14,CA-2019-161389,12/5/2019,12/10/2019,IM-15070,Non-essential,Travel/Lifestyle,407.976
15,US-2018-118983,11/22/2018,11/26/2018,HP-14815,Essential,Debt Payment,68.81
16,US-2018-118983,11/22/2018,11/26/2018,HP-14815,Non-essential,Travel/Lifestyle,2.544
17,CA-2017-105893,11/11/2017,11/18/2017,PK-19075,Essential,Saving,665.88
18,CA-2017-167164,5/13/2017,5/15/2017,AG-10270,Essential,Saving,55.5
19,CA-2017-143336,8/27/2017,9/1/2017,ZD-21925,Non-essential,Luxury,8.56
20,CA-2017-143336,8/27/2017,9/1/2017,ZD-21925,Essential,Healthcare,213.48
21,CA-2017-143336,8/27/2017,9/1/2017,ZD-21925,Non-essential,Travel/Lifestyle,22.72
22,CA-2019-137330,12/9/2019,12/13/2019,KB-16585,Non-essential,Luxury,19.46
23,CA-2019-137330,12/9/2019,12/13/2019,KB-16585,Essential,Debt Payment,60.34
24,US-2020-156909,7/16/2020,7/18/2020,SF-20065,Essential,Utilities,71.372
25,CA-2018-106320,9/25/2018,9/30/2018,EB-13870,Essential,Food,1044.63
26,CA-2019-121755,1/16/2019,1/20/2019,EH-13945,Non-essential,Travel/Lifestyle,11.648
27,CA-2019-121755,1/16/2019,1/20/2019,EH-13945,Non-essential,Lifestyle,90.57
28,US-2018-150630,9/17/2018,9/21/2018,TB-21520,Essential,Insurance,3083.43
29,US-2018-150630,9/17/2018,9/21/2018,TB-21520,Non-essential,Travel/Lifestyle,9.618
30,US-2018-150630,9/17/2018,9/21/2018,TB-21520,Non-essential,Alcohol,124.2
31,US-2018-150630,9/17/2018,9/21/2018,TB-21520,Non-essential,Tobacco,3.264
32,US-2018-150630,9/17/2018,9/21/2018,TB-21520,Non-essential,Luxury,86.304
33,US-2018-150630,9/17/2018,9/21/2018,TB-21520,Non-essential,Travel/Lifestyle,6.858
34,US-2018-150630,9/17/2018,9/21/2018,TB-21520,Non-essential,Luxury,15.76
35,CA-2020-107727,10/19/2020,10/23/2020,MA-17560,Non-essential,Luxury,29.472
36,CA-2019-117590,12/8/2019,12/10/2019,GH-14485,Essential,Healthcare,1097.544
37,CA-2019-117590,12/8/2019,12/10/2019,GH-14485,Non-essential,Alcohol,190.92
38,CA-2018-117415,12/27/2018,12/31/2018,SN-20710,Non-essential,Tobacco,113.328
39,CA-2018-117415,12/27/2018,12/31/2018,SN-20710,Essential,Insurance,532.3992
40,CA-2018-117415,12/27/2018,12/31/2018,SN-20710,Essential,Utilities,212.058
41,CA-2018-117415,12/27/2018,12/31/2018,SN-20710,Essential,Healthcare,371.168
42,CA-2020-120999,9/10/2020,9/15/2020,LC-16930,Essential,Healthcare,147.168
43,CA-2019-101343,7/17/2019,7/22/2019,RA-19885,Essential,Saving,77.88
44,CA-2020-139619,9/19/2020,9/23/2020,ES-14080,Essential,Saving,95.616
45,CA-2019-118255,3/11/2019,3/13/2019,ON-18715,Non-essential,Lifestyle,45.98
46,CA-2019-118255,3/11/2019,3/13/2019,ON-18715,Non-essential,Travel/Lifestyle,17.46
47,CA-2017-146703,10/20/2017,10/25/2017,PO-18865,Essential,Saving,211.96
48,CA-2019-169194,6/20/2019,6/25/2019,LH-16900,Non-essential,Lifestyle,45
49,CA-2019-169194,6/20/2019,6/25/2019,LH-16900,Essential,Healthcare,21.8
50,CA-2018-115742,4/18/2018,4/22/2018,DP-13000,Non-essential,Travel/Lifestyle,38.22
51,CA-2018-115742,4/18/2018,4/22/2018,DP-13000,Non-essential,Luxury,75.18
52,CA-2018-115742,4/18/2018,4/22/2018,DP-13000,Non-essential,Alcohol,6.16
53,CA-2018-115742,4/18/2018,4/22/2018,DP-13000,Essential,Utilities,89.99
54,CA-2019-105816,12/11/2019,12/17/2019,JM-15265,Non-essential,Luxury,15.26
55,CA-2019-105816,12/11/2019,12/17/2019,JM-15265,Essential,Healthcare,1029.95
56,CA-2019-111682,6/17/2019,6/18/2019,TB-21055,Essential,Saving,208.56
57,CA-2019-111682,6/17/2019,6/18/2019,TB-21055,Non-essential,Luxury,32.4
58,CA-2019-111682,6/17/2019,6/18/2019,TB-21055,Essential,Utilities,319.41
59,CA-2019-111682,6/17/2019,6/18/2019,TB-21055,Non-essential,Luxury,14.56
60,CA-2019-111682,6/17/2019,6/18/2019,TB-21055,Non-essential,Lifestyle,30
61,CA-2019-111682,6/17/2019,6/18/2019,TB-21055,Non-essential,Travel/Lifestyle,48.48
62,CA-2019-111682,6/17/2019,6/18/2019,TB-21055,Non-essential,Luxury,1.68
63,CA-2018-135545,11/24/2018,11/30/2018,KM-16720,Non-essential,Lifestyle,13.98
64,CA-2018-135545,11/24/2018,11/30/2018,KM-16720,Non-essential,Travel/Lifestyle,25.824
65,CA-2018-135545,11/24/2018,11/30/2018,KM-16720,Non-essential,Luxury,146.73
66,CA-2018-135545,11/24/2018,11/30/2018,KM-16720,Non-essential,Alcohol,79.76
67,US-2018-164175,4/30/2018,5/5/2018,PS-18970,Essential,Utilities,213.115
68,CA-2017-106376,12/5/2017,12/10/2017,BS-11590,Non-essential,Luxury,1113.024
69,CA-2017-106376,12/5/2017,12/10/2017,BS-11590,Essential,Healthcare,167.968
70,CA-2019-119823,6/4/2019,6/6/2019,KD-16270,Non-essential,Luxury,75.88
71,CA-2019-106075,9/18/2019,9/23/2019,HM-14980,Non-essential,Travel/Lifestyle,4.616
72,CA-2020-114440,9/14/2020,9/17/2020,TB-21520,Non-essential,Luxury,19.05
73,US-2018-134026,4/26/2018,5/2/2018,JE-15745,Essential,Utilities,831.936
74,US-2018-134026,4/26/2018,5/2/2018,JE-15745,Non-essential,Alcohol,97.04
75,US-2018-134026,4/26/2018,5/2/2018,JE-15745,Essential,Saving,72.784
76,US-2020-118038,12/9/2020,12/11/2020,KB-16600,Non-essential,Travel/Lifestyle,1.248
77,US-2020-118038,12/9/2020,12/11/2020,KB-16600,Non-essential,Alcohol,9.708
78,US-2020-118038,12/9/2020,12/11/2020,KB-16600,Essential,Saving,27.24
79,US-2017-147606,11/26/2017,12/1/2017,JE-15745,Non-essential,Alcohol,19.3
80,CA-2019-127208,6/12/2019,6/15/2019,SC-20770,Essential,Debt Payment,208.16
81,CA-2019-127208,6/12/2019,6/15/2019,SC-20770,Non-essential,Travel/Lifestyle,16.74
82,CA-2017-139451,10/12/2017,10/16/2017,DN-13690,Non-essential,Luxury,14.9
83,CA-2017-139451,10/12/2017,10/16/2017,DN-13690,Essential,Saving,21.39
84,CA-2018-149734,9/3/2018,9/8/2018,JC-16105,Non-essential,Tobacco,200.984
85,US-2020-119662,11/13/2020,11/16/2020,CS-12400,Essential,Saving,230.376
86,CA-2020-140088,5/28/2020,5/30/2020,PO-18865,Essential,Utilities,301.96
87,CA-2020-155558,10/26/2020,11/2/2020,PG-18895,Non-essential,Lifestyle,19.99
88,CA-2020-155558,10/26/2020,11/2/2020,PG-18895,Non-essential,Luxury,6.16
89,CA-2019-159695,4/5/2019,4/10/2019,GM-14455,Essential,Saving,158.368
90,CA-2019-109806,9/17/2019,9/22/2019,JS-15685,Non-essential,Luxury,20.1
91,CA-2019-109806,9/17/2019,9/22/2019,JS-15685,Essential,Healthcare,73.584
92,CA-2019-109806,9/17/2019,9/22/2019,JS-15685,Non-essential,Luxury,6.48
93,CA-2018-149587,1/31/2018,2/5/2018,KB-16315,Non-essential,Luxury,12.96
94,CA-2018-149587,1/31/2018,2/5/2018,KB-16315,Non-essential,Alcohol,53.34
95,CA-2018-149587,1/31/2018,2/5/2018,KB-16315,Non-essential,Travel/Lifestyle,32.96
96,US-2020-109484,11/6/2020,11/12/2020,RB-19705,Non-essential,Travel/Lifestyle,5.682
97,CA-2020-161018,11/9/2020,11/11/2020,PN-18775,Non-essential,Alcohol,96.53
98,CA-2020-157833,6/17/2020,6/20/2020,KD-16345,Non-essential,Travel/Lifestyle,51.312
99,CA-2019-149223,9/6/2019,9/11/2019,ER-13855,Essential,Debt Payment,77.88
100,CA-2019-158568,8/29/2019,9/2/2019,RB-19465,Non-essential,Luxury,64.624
101,CA-2019-158568,8/29/2019,9/2/2019,RB-19465,Non-essential,Lifestyle,95.976
102,CA-2019-158568,8/29/2019,9/2/2019,RB-19465,Non-essential,Travel/Lifestyle,1.788
103,CA-2019-129903,12/1/2019,12/4/2019,GZ-14470,Non-essential,Luxury,23.92
104,US-2018-156867,11/13/2018,11/17/2018,LC-16870,Non-essential,Lifestyle,238.896
105,US-2018-156867,11/13/2018,11/17/2018,LC-16870,Non-essential,Alcohol,102.36
106,US-2018-156867,11/13/2018,11/17/2018,LC-16870,Non-essential,Travel/Lifestyle,36.882
107,CA-2020-119004,11/23/2020,11/28/2020,JM-15250,Non-essential,Lifestyle,74.112
108,CA-2020-119004,11/23/2020,11/28/2020,JM-15250,Essential,Healthcare,27.992
109,CA-2020-119004,11/23/2020,11/28/2020,JM-15250,Non-essential,Luxury,3.304
110,CA-2018-129476,10/15/2018,10/20/2018,PA-19060,Non-essential,Lifestyle,339.96
111,CA-2020-146780,12/25/2020,12/30/2020,CV-12805,Non-essential,Alcohol,41.96
112,CA-2019-128867,11/3/2019,11/10/2019,CL-12565,Non-essential,Luxury,75.96
113,CA-2019-128867,11/3/2019,11/10/2019,CL-12565,Non-essential,Travel/Lifestyle,27.24
114,CA-2017-115259,8/25/2017,8/27/2017,RC-19960,Non-essential,Luxury,40.096
115,CA-2017-115259,8/25/2017,8/27/2017,RC-19960,Non-essential,Tobacco,4.72
116,CA-2017-115259,8/25/2017,8/27/2017,RC-19960,Non-essential,Luxury,23.976
117,CA-2017-115259,8/25/2017,8/27/2017,RC-19960,Non-essential,Tobacco,130.464
118,CA-2018-110457,3/2/2018,3/6/2018,DK-13090,Essential,Food,787.53
119,US-2018-136476,4/5/2018,4/10/2018,GG-14650,Non-essential,Travel/Lifestyle,157.794
120,CA-2019-103730,6/12/2019,6/15/2019,SC-20725,Non-essential,Alcohol,47.04
121,CA-2019-103730,6/12/2019,6/15/2019,SC-20725,Non-essential,Travel/Lifestyle,30.84
122,CA-2019-103730,6/12/2019,6/15/2019,SC-20725,Essential,Saving,226.56
123,CA-2019-103730,6/12/2019,6/15/2019,SC-20725,Non-essential,Tobacco,115.02
124,CA-2019-103730,6/12/2019,6/15/2019,SC-20725,Essential,Healthcare,68.04
125,US-2017-152030,12/26/2017,12/28/2017,AD-10180,Essential,Utilities,600.558
126,US-2017-134614,9/20/2017,9/25/2017,PF-19165,Essential,Food,617.7
127,US-2020-107272,11/5/2020,11/12/2020,TS-21610,Non-essential,Travel/Lifestyle,2.388
128,US-2020-107272,11/5/2020,11/12/2020,TS-21610,Essential,Saving,243.992
129,US-2019-125969,11/6/2019,11/10/2019,LS-16975,Essential,Utilities,81.424
130,US-2019-125969,11/6/2019,11/10/2019,LS-16975,Non-essential,Alcohol,238.56
131,US-2020-164147,2/2/2020,2/5/2020,DW-13585,Essential,Healthcare,59.97
132,US-2020-164147,2/2/2020,2/5/2020,DW-13585,Non-essential,Luxury,78.304
133,US-2020-164147,2/2/2020,2/5/2020,DW-13585,Non-essential,Luxury,21.456
134,CA-2019-145583,10/13/2019,10/19/2019,LC-16885,Non-essential,Luxury,20.04
135,CA-2019-145583,10/13/2019,10/19/2019,LC-16885,Non-essential,Luxury,35.44
136,CA-2019-145583,10/13/2019,10/19/2019,LC-16885,Non-essential,Luxury,11.52
137,CA-2019-145583,10/13/2019,10/19/2019,LC-16885,Non-essential,Luxury,4.02
138,CA-2019-145583,10/13/2019,10/19/2019,LC-16885,Non-essential,Travel/Lifestyle,76.176
139,CA-2019-145583,10/13/2019,10/19/2019,LC-16885,Essential,Investing,65.88
140,CA-2019-145583,10/13/2019,10/19/2019,LC-16885,Non-essential,Alcohol,43.12
141,CA-2019-110366,9/5/2019,9/7/2019,JD-15895,Non-essential,Alcohol,82.8
142,CA-2020-106180,9/18/2020,9/23/2020,SH-19975,Non-essential,Luxury,8.82
143,CA-2020-106180,9/18/2020,9/23/2020,SH-19975,Non-essential,Tobacco,10.86
