State,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Deaths/1 mil population ,Total Tests,Tests/1 mil population,Population
Alabama,1299624,19545,1244255,35824,265057,3986,7552531,1540332,4903185
Alaska,243466,1215,236915,5336,332811,1661,4107614,5614985,731545
Arizona,2019174,29852,1972981,16341,277408,4101,19150645,2631047,7278717
Arkansas,834995,11371,822115,1509,276690,3768,6821876,2260543,3017804
California,9191546,90145,8951225,150176,232625,2281,159495767,4036618,39512223
Colorado,1375540,13169,1311894,50477,238861,2287,17307956,3005513,5758736
Connecticut,751810,10834,721658,19318,210869,3039,15534710,4357212,3565287
Delaware,261399,2905,254974,3520,268442,2983,1020216,1047704,973764
Florida,5943165,73822,5811437,57906,276713,3437,56655092,2637852,21477737
Georgia,2509160,37659,2456018,15483,236325,3547,24589446,2315952,10617423
Hawaii,245035,1407,238522,5106,173063,994,3651737,2579143,1415872
Idaho,445545,4922,438627,1996,249317,2754,2891186,1617840,1787065
Illinois,3114036,37859,3017945,58232,245745,2988,57898053,4569040,12671821
Indiana,1696759,23549,1568064,105146,252036,3498,19593372,2910388,6732219
Iowa,857553,9510,842212,5831,271802,3014,8492575,2691723,3155070
Kansas,773796,8597,760760,4439,265607,2951,2269976,779173,2913314
Kentucky,1325064,15375,1281955,27734,296589,3441,13675281,3060940,4467673
Louisiana,1236111,17223,1215372,3516,265899,3705,15328248,3297253,4648794
Maine,242033,2280,232133,7620,180056,1696,5086132,3783728,1344212
Maryland,1024920,14422,995674,14824,169529,2386,20044306,3315476,6045680
Massachusetts,1738231,20222,1692522,25487,252192,2934,43452857,6304365,6892503
Michigan,2411464,35935,2348153,27376,241464,3598,24633852,2466627,9986857
Minnesota,1443859,12752,1423628,7479,256020,2261,19479012,3453951,5639632
Mississippi,796840,12436,781657,2747,267742,4179,6248979,2099686,2976149
Missouri,1421159,20314,1383333,17512,231556,3310,14632189,2384091,6137428
Montana,273489,3262,269766,461,255889,3052,2764067,2586194,1068778
Nebraska,479181,4197,473091,1893,247715,2170,5458697,2821895,1934408
Nevada,716731,10684,696706,9341,232693,3469,6875532,2232203,3080156
New Hampshire,307528,2475,302530,2523,226172,1820,4669942,3434511,1359711
New Jersey,2244918,33376,2135467,76075,252744,3758,17594409,1980864,8882190
New Mexico,521018,7442,502670,10906,248479,3549,6952268,3315610,2096829
New York,5279289,68749,5139945,70595,271379,3534,107092879,5505053,19453561
North Carolina,2647650,23363,2613027,11260,252444,2228,26356209,2512967,10488084
North Dakota,240713,2257,238008,448,315871,2962,618121,811116,762062
Ohio,2688327,38360,2632226,17741,229986,3282,22272602,1905416,11689100
Oklahoma,1038224,14219,1023026,979,262378,3593,5473577,1383274,3956971
Oregon,714346,7478,691680,15188,169367,1773,11070061,2624645,4217737
Pennsylvania,2808171,44613,2738222,25336,219354,3485,25893262,2022597,12801989
Rhode Island,368246,3532,356415,8299,347611,3334,7749729,7315475,1059361
South Carolina,1472093,17734,1439659,14700,285915,3444,15685430,3046475,5148714
South Dakota,237535,2901,234222,412,268505,3279,2155506,2436539,884659
Tennessee,2027209,26141,1996027,5041,296845,3828,12868874,1884397,6829174
Texas,6807967,88448,6641251,78268,234791,3050,63768960,2199242,28995881
Utah,930558,4740,922423,3395,290259,1478,9406861,2934181,3205958
Vermont,121534,629,114940,5965,194769,1008,3547794,5685668,623989
Virginia,1691268,20149,1644933,26186,198145,2361,19172533,2246206,8535519
Washington,1483332,12657,1443134,27541,194794,1662,12896784,1693626,7614893
West Virginia,499796,6823,492429,544,278881,3807,6016313,3357042,1792147
Wisconsin,1601444,14403,1568412,18629,275047,2474,15963889,2741790,5822434
Wyoming,156392,1807,154406,179,270220,3122,1396443,2412823,578759
