Date,Zip,HomeIndex
1/31/2000,85710,104012
2/29/2000,85710,104312
3/31/2000,85710,104483
4/30/2000,85710,104764
5/31/2000,85710,104996
6/30/2000,85710,105223
7/31/2000,85710,105595
8/31/2000,85710,106071
9/30/2000,85710,106680
10/31/2000,85710,107383
11/30/2000,85710,107843
12/31/2000,85710,108267
1/31/2001,85710,108520
2/28/2001,85710,108866
3/31/2001,85710,109192
4/30/2001,85710,109631
5/31/2001,85710,110149
6/30/2001,85710,110777
7/31/2001,85710,111390
8/31/2001,85710,112153
9/30/2001,85710,112918
10/31/2001,85710,113724
11/30/2001,85710,114311
12/31/2001,85710,114825
1/31/2002,85710,115158
2/28/2002,85710,115572
3/31/2002,85710,116137
4/30/2002,85710,116750
5/31/2002,85710,117420
6/30/2002,85710,118073
7/31/2002,85710,118918
8/31/2002,85710,119557
9/30/2002,85710,120004
10/31/2002,85710,120732
11/30/2002,85710,121462
12/31/2002,85710,122348
1/31/2003,85710,122750
2/28/2003,85710,123331
3/31/2003,85710,123739
4/30/2003,85710,124484
5/31/2003,85710,125326
6/30/2003,85710,126263
7/31/2003,85710,127409
8/31/2003,85710,128703
9/30/2003,85710,130041
10/31/2003,85710,130993
11/30/2003,85710,131422
12/31/2003,85710,131962
1/31/2004,85710,132507
2/29/2004,85710,133530
3/31/2004,85710,134490
4/30/2004,85710,135678
5/31/2004,85710,137150
6/30/2004,85710,139098
7/31/2004,85710,141018
8/31/2004,85710,142866
9/30/2004,85710,144856
10/31/2004,85710,146964
11/30/2004,85710,148835
12/31/2004,85710,150530
1/31/2005,85710,152178
2/28/2005,85710,154351
3/31/2005,85710,157127
4/30/2005,85710,161410
5/31/2005,85710,166961
6/30/2005,85710,172849
7/31/2005,85710,179466
8/31/2005,85710,184002
9/30/2005,85710,187966
10/31/2005,85710,190375
11/30/2005,85710,192589
12/31/2005,85710,194339
1/31/2006,85710,193903
2/28/2006,85710,195123
3/31/2006,85710,197691
4/30/2006,85710,200317
5/31/2006,85710,202215
6/30/2006,85710,202248
7/31/2006,85710,202352
8/31/2006,85710,202832
9/30/2006,85710,202741
10/31/2006,85710,201746
11/30/2006,85710,201287
12/31/2006,85710,200541
1/31/2007,85710,200835
2/28/2007,85710,200015
3/31/2007,85710,200471
4/30/2007,85710,201360
5/31/2007,85710,201477
6/30/2007,85710,200841
7/31/2007,85710,200217
8/31/2007,85710,199542
9/30/2007,85710,197615
10/31/2007,85710,196199
11/30/2007,85710,193816
12/31/2007,85710,193330
1/31/2008,85710,191817
2/29/2008,85710,188974
3/31/2008,85710,185259
4/30/2008,85710,181672
5/31/2008,85710,180375
6/30/2008,85710,177857
7/31/2008,85710,175282
8/31/2008,85710,171676
9/30/2008,85710,169761
10/31/2008,85710,167819
11/30/2008,85710,166767
12/31/2008,85710,165200
1/31/2009,85710,164387
2/28/2009,85710,163689
3/31/2009,85710,162019
4/30/2009,85710,160112
5/31/2009,85710,158331
6/30/2009,85710,156916
7/31/2009,85710,155862
8/31/2009,85710,154317
9/30/2009,85710,153287
10/31/2009,85710,152584
11/30/2009,85710,151818
12/31/2009,85710,151365
1/31/2010,85710,149638
2/28/2010,85710,147997
3/31/2010,85710,146828
4/30/2010,85710,146688
5/31/2010,85710,146173
6/30/2010,85710,144964
7/31/2010,85710,142986
8/31/2010,85710,141897
9/30/2010,85710,140159
10/31/2010,85710,137900
11/30/2010,85710,135102
12/31/2010,85710,133527
1/31/2011,85710,133289
2/28/2011,85710,132322
3/31/2011,85710,131000
4/30/2011,85710,128524
5/31/2011,85710,126216
6/30/2011,85710,123201
7/31/2011,85710,120445
8/31/2011,85710,118448
9/30/2011,85710,116947
10/31/2011,85710,115928
11/30/2011,85710,115281
12/31/2011,85710,114410
1/31/2012,85710,113831
2/29/2012,85710,114120
3/31/2012,85710,115313
4/30/2012,85710,116325
5/31/2012,85710,116679
6/30/2012,85710,117361
7/31/2012,85710,118459
8/31/2012,85710,119605
9/30/2012,85710,120752
10/31/2012,85710,121543
11/30/2012,85710,122408
12/31/2012,85710,123115
1/31/2013,85710,123945
2/28/2013,85710,124176
3/31/2013,85710,124118
4/30/2013,85710,124602
5/31/2013,85710,125716
6/30/2013,85710,127535
7/31/2013,85710,128968
8/31/2013,85710,130234
9/30/2013,85710,131424
10/31/2013,85710,132814
11/30/2013,85710,133841
12/31/2013,85710,134420
1/31/2014,85710,135456
2/28/2014,85710,137208
3/31/2014,85710,137990
4/30/2014,85710,137975
5/31/2014,85710,137861
6/30/2014,85710,138458
7/31/2014,85710,139216
8/31/2014,85710,139698
9/30/2014,85710,139920
10/31/2014,85710,139914
11/30/2014,85710,140274
12/31/2014,85710,140456
1/31/2015,85710,140574
2/28/2015,85710,140210
3/31/2015,85710,140538
4/30/2015,85710,141242
5/31/2015,85710,141769
6/30/2015,85710,142192
7/31/2015,85710,141609
8/31/2015,85710,141217
9/30/2015,85710,141143
10/31/2015,85710,141719
11/30/2015,85710,141984
12/31/2015,85710,142356
1/31/2016,85710,142962
2/29/2016,85710,143798
3/31/2016,85710,144442
4/30/2016,85710,144875
5/31/2016,85710,145483
6/30/2016,85710,145686
7/31/2016,85710,146786
8/31/2016,85710,147969
9/30/2016,85710,149059
10/31/2016,85710,149675
11/30/2016,85710,150527
12/31/2016,85710,151476
1/31/2017,85710,152433
2/28/2017,85710,153216
3/31/2017,85710,154309
4/30/2017,85710,155153
5/31/2017,85710,156187
6/30/2017,85710,157405
7/31/2017,85710,158521
8/31/2017,85710,159850
9/30/2017,85710,161250
10/31/2017,85710,162709
11/30/2017,85710,163746
12/31/2017,85710,164630
1/31/2018,85710,165353
2/28/2018,85710,166410
3/31/2018,85710,167395
4/30/2018,85710,168675
5/31/2018,85710,169552
6/30/2018,85710,170531
7/31/2018,85710,171289
8/31/2018,85710,172021
9/30/2018,85710,173245
10/31/2018,85710,174320
11/30/2018,85710,175426
12/31/2018,85710,175339
1/31/2019,85710,176034
2/28/2019,85710,176875
3/31/2019,85710,177717
4/30/2019,85710,178490
5/31/2019,85710,179255
6/30/2019,85710,180432
7/31/2019,85710,181618
8/31/2019,85710,182801
9/30/2019,85710,184213
10/31/2019,85710,185395
11/30/2019,85710,187113
12/31/2019,85710,189278
1/31/2020,85710,190486
2/29/2020,85710,191437
3/31/2020,85710,192321
4/30/2020,85710,195032
5/31/2020,85710,196183
6/30/2020,85710,197228
7/31/2020,85710,197966
8/31/2020,85710,200419
9/30/2020,85710,202878
10/31/2020,85710,205321
11/30/2020,85710,
12/31/2020,85710,220524
1/31/2021,85710,229185
2/28/2021,85710,233466
3/31/2021,85710,236910
4/30/2021,85710,240298
5/31/2021,85710,245516
6/30/2021,85710,253560
7/31/2021,85710,261894
8/31/2021,85710,268281
9/30/2021,85710,272455
10/31/2021,85710,275464
