,dateSold,propertyType,lotAreaValue,address,imgSrc,price,bedrooms,longitude,latitude,listingStatus,zpid,listingSubType,contingentListingType,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,newConstructionType,unit,Unnamed: 0
0,,SINGLE_FAMILY,9583.2,"8686 W Brigmor Rd, Marana, AZ 85653",https://photos.zillowstatic.com/fp/0f9981ffe04756c8becc1666a5adfc31-p_e.jpg,535000,4.0,-111.15068,32.380066,FOR_SALE,121920670,{'is_FSBA': True},,-1,4,3009.0,USA,USD,sqft,True,,,
1,,SINGLE_FAMILY,5271.0,"5577 W Sunset Vista Pl, Marana, AZ 85658",https://photos.zillowstatic.com/fp/4d298202a5474b6c284a4f753fd15e3a-p_e.jpg,299000,3.0,-111.08413,32.43664,FOR_SALE,8604569,{'is_FSBA': True},,-1,2,1318.0,USA,USD,sqft,True,,,
2,,SINGLE_FAMILY,7971.0,"9147 N Placita, Tucson, AZ 85742",https://photos.zillowstatic.com/fp/16015d3a9f17b37526fe8f2ce8993933-p_e.jpg,459000,3.0,-111.06656,32.39681,FOR_SALE,8627187,"{'is_FSBA': True, 'is_openHouse': True}",,-1,2,1717.0,USA,USD,sqft,True,,,
3,,SINGLE_FAMILY,6098.4,"11571 W Boll Bloom Dr, Marana, AZ 85653",https://photos.zillowstatic.com/fp/fa66d3c0df3dcbbd8651fa0baae54295-p_e.jpg,410000,3.0,-111.212074,32.42997,FOR_SALE,299579824,"{'is_FSBA': True, 'is_openHouse': True}",,-1,2,2013.0,USA,USD,sqft,True,,,
4,,SINGLE_FAMILY,6621.0,"11584 W Stone Hearth St, Marana, AZ 85658",https://photos.zillowstatic.com/fp/99abf2d0abf3ed84efb78763aa338c5b-p_e.jpg,324950,4.0,-111.21247,32.4668,FOR_SALE,82010927,{'is_FSBA': True},,-1,2,1656.0,USA,USD,sqft,True,,,
5,,SINGLE_FAMILY,9583.2,"12197 N Lazy River Dr, Marana, AZ 85653",https://photos.zillowstatic.com/fp/02821337d7880839ebe7d940c82a3b66-p_e.jpg,490000,4.0,-111.20382,32.42808,FOR_SALE,97410113,{'is_FSBA': True},,-1,3,2755.0,USA,USD,sqft,True,,,
6,,SINGLE_FAMILY,5750.0,"20918 E Frontier Rd, Red Rock, AZ 85145",https://photos.zillowstatic.com/fp/05496f0fe5f42895ba7b6a51bed0ea46-p_e.jpg,295000,4.0,-111.34438,32.56484,FOR_SALE,82245308,{'is_FSBA': True},,-1,2,1776.0,USA,USD,sqft,True,,,
7,,SINGLE_FAMILY,8276.4,"11147 W Red Quartz Trl, Marana, AZ 85658",https://photos.zillowstatic.com/fp/6b7fcd15e38462554c4caa4a614313d1-p_e.jpg,489900,3.0,-111.20286,32.466785,FOR_SALE,97436740,"{'is_FSBA': True, 'is_openHouse': True}",,-1,3,2100.0,USA,USD,sqft,True,,,
8,,SINGLE_FAMILY,6708.0,"9235 N Red Diamond Ave, Tucson, AZ 85742",https://photos.zillowstatic.com/fp/a947014b7fed970b3c3ad29e185325d6-p_e.jpg,480000,4.0,-111.0886,32.374493,FOR_SALE,59831591,{'is_FSBA': True},,-1,3,2317.0,USA,USD,sqft,True,,,
9,,SINGLE_FAMILY,8712.0,"12381 N Starthroat Dr, Marana, AZ 85653",https://photos.zillowstatic.com/fp/de32e6eb5d3e3752ed30c6bd25a3b075-p_e.jpg,434900,3.0,-111.2076,32.43142,FOR_SALE,97411208,{'is_FSBA': True},,-1,2,1947.0,USA,USD,sqft,True,,,
